publication_number,citation_publication_number
US-2014053135-A1,US-6149318-A
US-2014053135-A1,US-2003131285-A1
US-2014053135-A1,US-2003131284-A1
US-2014053135-A1,US-2004060044-A1
US-2014053135-A1,US-2007006041-A1
US-2014053135-A1,US-2007061191-A1
US-2014053135-A1,US-7506312-B1
US-2014053135-A1,US-2009089755-A1
US-2014053135-A1,US-2010037035-A1
US-2014053135-A1,US-2011041120-A1
US-2014053135-A1,US-2011067005-A1
US-2014053135-A1,
US-2014053495-A1,US-617458-A
US-2014053495-A1,US-659416-A
US-2014053495-A1,US-2022363-A
US-2014053495-A1,US-3342003-A
US-2014053495-A1,US-3660215-A
US-2014053495-A1,US-3672022-A
US-2014053495-A1,US-3991536-A
US-2014053495-A1,US-4539787-A
US-2014053495-A1,US-2005055953-A1
US-2014053495-A1,US-2007119106-A1
US-2014053495-A1,US-2007175145-A1
US-2014053495-A1,US-7287356-B2
US-2014054378-A1,US-6788338-B1
US-2014054378-A1,US-2007132651-A1
US-2014054378-A1,US-2012169552-A1
US-2014054378-A1,US-2013229262-A1
US-2014054378-A1,US-8717246-B2
US-2014055447-A1,US-2002154820-A1
US-2014055447-A1,US-2006158730-A1
US-2014055447-A1,US-2008192819-A1
US-2014055447-A1,US-2008252718-A1
US-2014055447-A1,US-2009096983-A1
US-2014055447-A1,US-2012092456-A1
US-2014055447-A1,US-2012183210-A1
US-2014055447-A1,US-2012269275-A1
US-2014055447-A1,US-2012308115-A1
US-2014055447-A1,US-2013208014-A1
US-2014055447-A1,
US-2014055594-A1,US-3657473-A
US-2014055594-A1,US-2011182529-A1
US-2014055594-A1,
US-2014056441-A1,US-5788336-A
US-2014056593-A1,US-5793987-A
US-2014056593-A1,US-2004105144-A1
US-2014056593-A1,US-6903864-B1
US-2014056593-A1,US-2005244165-A1
US-2014056593-A1,US-2006147215-A1
US-2014056593-A1,US-2006277346-A1
US-2014056593-A1,US-7301973-B2
US-2014056593-A1,US-2007274350-A1
US-2014056593-A1,US-2008131128-A1
US-2014056593-A1,US-2008205901-A1
US-2014056593-A1,US-7471897-B1
US-2014056593-A1,US-2009154930-A1
US-2014056593-A1,US-2009169206-A1
US-2014056593-A1,US-2009175626-A1
US-2014056593-A1,US-2009175289-A1
US-2014056593-A1,US-7580637-B2
US-2014056593-A1,US-2009226138-A1
US-2014056593-A1,US-2009237129-A1
US-2014056593-A1,US-2010037008-A1
US-2014056593-A1,US-2010061069-A1
US-2014056593-A1,US-2010067854-A1
US-2014056593-A1,US-7734183-B2
US-2014056593-A1,US-2011135312-A1
US-2014056593-A1,US-2011182191-A1
US-2014056593-A1,US-2011229129-A1
US-2014056593-A1,US-8055130-B2
US-2014056593-A1,US-8167505-B2
US-2014056593-A1,US-8200097-B2
US-2014056593-A1,US-8300659-B2
US-2014056593-A1,US-8494362-B2
US-2014056593-A1,US-2013243431-A1
US-2014056593-A1,US-8606103-B2
US-2014056593-A1,US-8620156-B2
US-2014056593-A1,US-8649271-B2
US-2014057590-A1,US-2005197096-A1
US-2014057590-A1,US-2009182700-A1
US-2014057590-A1,US-2010003958-A1
US-2014057590-A1,US-2012210271-A1
US-2014057590-A1,US-8600668-B2
US-2014057590-A1,US-8862092-B2
US-2014057602-A1,US-2007237086-A1
US-2014058605-A1,US-2004070270-A1
US-2014058605-A1,US-2008297073-A1
US-2014058849-A1,US-2003195832-A1
US-2014058849-A1,US-2003225677-A1
US-2014058849-A1,US-2006242017-A1
US-2014058849-A1,US-2006294084-A1
US-2014058849-A1,US-2010145809-A1
US-2014058849-A1,US-2011184802-A1
US-2014058849-A1,US-2012158522-A1
US-2014058849-A1,US-2012179549-A1
US-2014058849-A1,US-2013097028-A1
US-2014060259-A1,US-4211127-A
US-2014060259-A1,US-6260448-B1
US-2014060259-A1,US-7114415-B1
US-2014066562-A1,US-6441081-B1
US-2014066562-A1,WO-2004039852-A1
US-2014066562-A1,US-8748547-B2
US-2014067544-A1,US-2004193425-A1
US-2014067544-A1,US-2007260520-A1
US-2014067544-A1,US-2008059256-A1
US-2014067544-A1,US-2008120254-A1
US-2014067544-A1,US-2010293057-A1
US-2014067544-A1,US-2012116867-A1
US-2014067544-A1,US-2012166282-A1
US-2014067544-A1,US-2012166290-A1
US-2014067544-A1,US-2012166871-A1
US-2014067544-A1,US-2013304569-A1
US-2014067773-A1,US-2005223089-A1
US-2014067773-A1,US-8000932-B2
US-2014068699-A1,
US-2014070647-A1,US-5770900-A
US-2014070647-A1,US-2001026103-A1
US-2014070647-A1,US-8222779-B2
US-2014070647-A1,US-8305180-B2
US-2014070647-A1,US-2014125160-A1
US-2014071459-A1,US-3837198-A
US-2014071459-A1,US-4343553-A
US-2014071459-A1,US-4452534-A
US-2014071459-A1,US-4895448-A
US-2014071459-A1,US-5105149-A
US-2014071459-A1,US-5243665-A
US-2014071459-A1,US-6377700-B1
US-2014071459-A1,US-6549289-B1
US-2014071459-A1,US-2003175024-A1
US-2014071459-A1,US-6987873-B1
US-2014071459-A1,US-7236256-B2
US-2014071459-A1,US-7447558-B2
US-2014071459-A1,US-7576845-B2
US-2014071459-A1,US-7630088-B2
US-2014071459-A1,US-2010328454-A1
US-2014071459-A1,US-7940385-B2
US-2014071459-A1,US-8197070-B2
US-2014071459-A1,US-8224064-B1
US-2014071459-A1,US-8538166-B2
US-2014071459-A1,US-2014071243-A1
US-2014071459-A1,US-2014152794-A1
US-2014072585-A1,WO-2006099308-A2
US-2014072585-A1,US-2009291062-A1
US-2014072585-A1,US-2014301977-A1
US-2014072585-A1,
US-2014075731-A1,US-2907553-A
US-2014075731-A1,US-5316247-A
US-2014075731-A1,US-5586584-A
US-2014075731-A1,US-6543750-B1
US-2014075731-A1,CA-2552013-A1
US-2014075731-A1,WO-2011055393-A1
US-2014075731-A1,US-8407875-B2
US-2014075731-A1,US-8490262-B2
US-2014075731-A1,US-8636266-B2
US-2014076090-A1,US-5161425-A
US-2014076090-A1,US-6182981-B1
US-2014076090-A1,US-6283484-B1
US-2014076090-A1,US-6401888-B1
US-2014076090-A1,US-6442797-B1
US-2014076090-A1,US-2006237935-A1
US-2014076108-A1,US-6397474-B1
US-2014076108-A1,US-6510610-B2
US-2014076108-A1,US-6640439-B2
US-2014076108-A1,US-6755109-B2
US-2014076108-A1,US-7984553-B1
US-2014076108-A1,US-2012192414-A1
US-2014076346-A1,US-2003152542-A1
US-2014076346-A1,US-2005196368-A1
US-2014076346-A1,US-2009291058-A1
US-2014076346-A1,EP-2213334-A1
US-2014076346-A1,US-2010254932-A1
US-2014076353-A1,
US-2014077245-A1,US-6614103-B1
US-2014077245-A1,US-2005218421-A1
US-2014077245-A1,US-2005269587-A1
US-2014077245-A1,US-2008117500-A1
US-2014077245-A1,US-2009050926-A1
US-2014077245-A1,US-7952115-B2
US-2014077245-A1,US-2011198653-A1
US-2014077245-A1,US-2011198632-A1
US-2014077245-A1,US-8237381-B2
US-2014077245-A1,US-9240530-B2
US-2014077315-A1,US-5151110-A
US-2014077315-A1,US-2004000713-A1
US-2014077315-A1,US-2006010964-A1
US-2014077315-A1,US-2007122314-A1
US-2014077395-A1,US-3663088-A
US-2014077395-A1,JP-S5491349-A
US-2014077395-A1,JP-S5856482-A
US-2014077395-A1,JP-S5895862-A
US-2014077395-A1,US-4460915-A
US-2014077395-A1,JP-S62174956-A
US-2014077395-A1,US-4808880-A
US-2014077395-A1,US-4829013-A
US-2014077395-A1,US-4864370-A
US-2014077395-A1,US-4971930-A
US-2014077395-A1,US-4998800-A
US-2014077395-A1,US-5051802-A
US-2014077395-A1,US-5087949-A
US-2014077395-A1,US-5238856-A
US-2014077395-A1,WO-9324956-A1
US-2014077395-A1,US-5367878-A
US-2014077395-A1,US-5399805-A
US-2014077395-A1,WO-9519645-A1
US-2014077395-A1,US-5499124-A
US-2014077395-A1,US-5547906-A
US-2014077395-A1,US-5567570-A
US-2014077395-A1,US-5623181-A
US-2014077395-A1,US-5652067-A
US-2014077395-A1,US-5686698-A
US-2014077395-A1,US-5973337-A
US-2014077395-A1,US-5998862-A
US-2014077395-A1,US-2004183185-A1
US-2014077395-A1,US-7408249-B2
US-2014077795-A1,US-4134106-A
US-2014077795-A1,US-5774074-A
US-2014077795-A1,US-2003169945-A1
US-2014077795-A1,US-2004007664-A1
US-2014077795-A1,US-2005220456-A1
US-2014077795-A1,US-2011049341-A1
US-2014077795-A1,US-2011122422-A1
US-2014077795-A1,US-2011147572-A1
US-2014077795-A1,US-2011298411-A1
US-2014077795-A1,US-2012041691-A1
US-2014077925-A1,US-5029216-A
US-2014077925-A1,US-2001016818-A1
US-2014077925-A1,US-2005046789-A1
US-2014077925-A1,US-2006003803-A1
US-2014077925-A1,US-2007160254-A1
US-2014077925-A1,US-2008151179-A1
US-2014077925-A1,US-7648326-B2
US-2014077925-A1,US-2010110368-A1
US-2014077925-A1,US-8543061-B2
US-2014078147-A1,US-4366508-A
US-2014078147-A1,US-5422658-A
US-2014078147-A1,US-5537256-A
US-2014078147-A1,US-5689283-A
US-2014078147-A1,US-2003132901-A1
US-2014078147-A1,US-6657603-B1
US-2014078147-A1,US-2004196253-A1
US-2014078147-A1,US-2007268541-A1
US-2014078147-A1,US-2012098853-A1
US-2014078147-A1,US-2013242210-A1
US-2014078686-A1,US-4475231-A
US-2014078686-A1,US-4546267-A
US-2014078686-A1,US-4680674-A
US-2014078686-A1,US-5949644-A
US-2014078686-A1,US-6038130-A
US-2014078686-A1,US-6661648-B2
US-2014078686-A1,US-2005151511-A1
US-2014078686-A1,US-2007035917-A1
US-2014078686-A1,US-2007279002-A1
US-2014078686-A1,US-2008212527-A1
US-2014078686-A1,US-2009058361-A1
US-2014078686-A1,US-2009100275-A1
US-2014078686-A1,US-2009096413-A1
US-2014078686-A1,US-2009212737-A1
US-2014078686-A1,US-2009236140-A1
US-2014078686-A1,US-2009284369-A1
US-2014078941-A1,US-2009285122-A1
US-2014078941-A1,US-2010165939-A1
US-2014078941-A1,US-2010238845-A1
US-2014078941-A1,US-2011002276-A1
US-2014078941-A1,US-2011211522-A1
US-2014078941-A1,US-2011310830-A1
US-2014078941-A1,US-2013315135-A1
US-2014078941-A1,US-8942202-B2
US-2014083030-A1,US-1921303-A
US-2014083030-A1,US-2175653-A
US-2014083030-A1,US-3158961-A
US-2014083030-A1,US-5568707-A
US-2014083030-A1,US-5797225-A
US-2014083030-A1,US-6192643-B1
US-2014083030-A1,US-2005178078-A1
US-2014083030-A1,US-2006000161-A1
US-2014083030-A1,US-2008040993-A1
US-2014083030-A1,US-7392623-B2
US-2014083030-A1,US-2010011683-A1
US-2014083030-A1,US-2010011682-A1
US-2014083030-A1,US-2010018138-A1
US-2014083030-A1,US-7836641-B2
US-2014083030-A1,US-7882664-B2
US-2014083030-A1,US-2012011787-A1
US-2014083030-A1,US-8191317-B2
US-2014083030-A1,US-2012174506-A1
US-2014083030-A1,US-8225560-B2
US-2014083149-A1,US-6490543-B1
US-2014083149-A1,US-6615103-B2
US-2014083149-A1,US-6922640-B2
US-2014083149-A1,US-7059166-B2
US-2014083149-A1,US-7143007-B2
US-2014083149-A1,US-8613210-B2
US-2014085339-A1,US-2008007648-A1
US-2014085339-A1,US-2010149216-A1
US-2014085339-A1,US-2010225669-A1
US-2014085339-A1,US-2012176396-A1
US-2014085339-A1,US-2013007603-A1
US-2014085339-A1,US-2013019183-A1
US-2014085848-A1,US-2004124961-A1
US-2014085848-A1,US-7268659-B2
US-2014085848-A1,US-2008143468-A1
US-2014085848-A1,US-2008303125-A1
US-2014085848-A1,US-2009008795-A1
US-2014085848-A1,US-7851257-B2
US-2014085848-A1,US-8283789-B2
US-2014086028-A1,US-3254396-A
US-2014087159-A1,US-5928793-A
US-2014087159-A1,US-6516634-B1
US-2014087159-A1,US-2011165393-A1
US-2014087159-A1,US-2012085130-A1
US-2014087159-A1,US-2012094084-A1
US-2014087159-A1,US-2012328843-A1
US-2014087159-A1,US-2013295357-A1
US-2014088908-A1,US-5507288-A
US-2014088908-A1,US-5507288-B1
US-2014088908-A1,US-2003134347-A1
US-2014088908-A1,US-2004111017-A1
US-2014088908-A1,US-2006281985-A1
US-2014088908-A1,US-2008086044-A1
US-2014088908-A1,US-7996158-B2
US-2014088908-A1,US-8583205-B2
US-2014088908-A1,US-8600681-B2
US-2014088908-A1,US-8834366-B2
US-2014090082-A1,US-2004128670-A1
US-2014090082-A1,US-2006045089-A1
US-2014090107-A1,US-5498831-A
US-2014090107-A1,
US-2014090268-A1,US-6161305-A
US-2014090552-A1,US-2380315-A
US-2014090552-A1,US-4029440-A
US-2014090552-A1,US-4680930-A
US-2014090552-A1,US-5651389-A
US-2014092673-A1,US-5469380-A
US-2014092673-A1,US-5535159-A
US-2014092673-A1,US-5539341-A
US-2014092673-A1,US-2007242498-A1
US-2014092673-A1,US-7411813-B2
US-2014092673-A1,US-2012250430-A1
US-2014092673-A1,US-8681534-B2
US-2014093071-A1,US-2011004762-A1
US-2014093071-A1,US-2011035787-A1
US-2014093071-A1,US-2011093919-A1
US-2014093071-A1,US-2011134869-A1
US-2014093071-A1,US-2011138447-A1
US-2014093071-A1,US-2011225632-A1
US-2014093071-A1,US-2012117251-A1
US-2014093071-A1,US-8621570-B2
US-2014093071-A1,
US-2014094872-A1,US-5507788-A
US-2014094872-A1,US-2010145221-A1
US-2014095250-A1,US-2003018500-A1
US-2014095250-A1,US-2004181417-A1
US-2014095250-A1,US-2006015380-A1
US-2014095250-A1,US-7363247-B1
US-2014095250-A1,US-2008167936-A1
US-2014095250-A1,US-2008250357-A1
US-2014095250-A1,US-2010010968-A1
US-2014095250-A1,US-2010185547-A1
US-2014095250-A1,US-2011282730-A1
US-2014095250-A1,US-2013041713-A1
US-2014095250-A1,US-2013060598-A1
US-2014095250-A1,US-2013179215-A1
US-2014096000-A1,US-2002083449-A1
US-2014096000-A1,US-2003200452-A1
US-2014096000-A1,US-2004076230-A1
US-2014096000-A1,US-2007053246-A1
US-2014096000-A1,US-2008189656-A1
US-2014096256-A1,US-2006271677-A1
US-2014096256-A1,US-2008046564-A1
US-2014096256-A1,US-2008209565-A2
US-2014096256-A1,US-2009220092-A1
US-2014096256-A1,US-2010131960-A1
US-2014096256-A1,
US-2014097922-A1,US-3986179-A
US-2014097922-A1,EP-1933337-A1
US-2014097922-A1,US-8685179-B2
US-2014097944-A1,US-2008204021-A1
US-2014100059-A1,US-2006178231-A1
US-2014100059-A1,US-2006252579-A1
US-2014100059-A1,US-2007265113-A1
US-2014100059-A1,US-2007281804-A1
US-2014100059-A1,US-2008312008-A1
US-2014100059-A1,US-2009036234-A1
US-2014100059-A1,US-2010151965-A1
US-2014100059-A1,US-2010234137-A1
US-2014100059-A1,US-2010331117-A1
US-2014100059-A1,US-2011098132-A1
US-2014100059-A1,US-2011143862-A1
US-2014100059-A1,US-2011250991-A1
US-2014100059-A1,US-2012010021-A1
US-2014100059-A1,US-2012157235-A1
US-2014100059-A1,US-2012165123-A1
US-2014100059-A1,US-2012172151-A1
US-2014100059-A1,US-2012264542-A1
US-2014100459-A1,US-2008319356-A1
US-2014100459-A1,US-2009177085-A1
US-2014100459-A1,US-2010059264-A1
US-2014100459-A1,US-2010305432-A1
US-2014100459-A1,US-2011263967-A1
US-2014100459-A1,US-2012059264-A1
US-2014100459-A1,
US-2014103717-A1,JP-3604511-B2
US-2014103717-A1,US-7301519-B2
US-2014103717-A1,US-2008259065-A1
US-2014103717-A1,US-2009228722-A1
US-2014103717-A1,US-2010141594-A1
US-2014103717-A1,US-2010307840-A1
US-2014103717-A1,US-2010308739-A1
US-2014103717-A1,US-2011012881-A1
US-2014105213-A1,US-8990371-B2
US-2014105213-A1,US-9014184-B2
US-2014105750-A1,US-5088892-A
US-2014105750-A1,WO-2009149970-A1
US-2014105750-A1,US-2010260609-A1
US-2014107068-A1,US-2009075284-A1
US-2014107068-A1,US-2010292331-A1
US-2014107068-A1,US-2011085981-A1
US-2014107068-A1,
US-2014108365-A1,US-5452420-A
US-2014108365-A1,US-5652879-A
US-2014108365-A1,US-5873097-A
US-2014108365-A1,US-6363495-B1
US-2014108365-A1,US-2003140071-A1
US-2014108365-A1,US-6708144-B1
US-2014108365-A1,US-6839726-B2
US-2014108365-A1,US-2005234933-A1
US-2014108365-A1,US-2006100996-A1
US-2014108365-A1,US-2006123100-A1
US-2014108365-A1,US-7146485-B1
US-2014108365-A1,US-2008033952-A1
US-2014108365-A1,US-2008288749-A1
US-2014108365-A1,US-2009254764-A1
US-2014108365-A1,US-2009292705-A1
US-2014108365-A1,US-2010023732-A1
US-2014108365-A1,US-2010174690-A1
US-2014108365-A1,US-7814084-B2
US-2014108365-A1,US-7953778-B2
US-2014108365-A1,
US-2014110760-A1,US-7224149-B2
US-2014110760-A1,US-8587033-B1
US-2014111737-A1,US-5880795-A
US-2014112311-A1,US-2014022918-A1
US-2014113823-A1,US-5626859-A
US-2014113823-A1,WO-0209519-A1
US-2014113823-A1,US-2002098221-A1
US-2014113823-A1,US-2009270259-A1
US-2014113823-A1,WO-2011015220-A1
US-2014113846-A1,US-3372116-A
US-2014113846-A1,US-5281345-A
US-2014113846-A1,US-5415792-A
US-2014113846-A1,US-5433871-A
US-2014113846-A1,US-5437803-A
US-2014113846-A1,US-5652203-A
US-2014113846-A1,US-2009170737-A1
US-2014113846-A1,US-7935664-B2
US-2014113846-A1,US-7960324-B2
US-2014113846-A1,US-8012918-B2
US-2014113846-A1,US-8030258-B2
US-2014113846-A1,US-8404627-B2
US-2014113846-A1,US-8765649-B2
US-2014113846-A1,US-8778856-B2
US-2014115269-A1,US-2005273536-A1
US-2014115269-A1,US-7197578-B1
US-2014115269-A1,US-8359436-B2
US-2014115269-A1,US-8448001-B1
US-2014115269-A1,US-8510576-B2
US-2014115269-A1,US-2014122833-A1
US-2014115269-A1,US-8725953-B2
US-2014115269-A1,US-8867573-B2
US-2014115269-A1,US-9152213-B2
US-2014115269-A1,US-9183170-B2
US-2014116216-A1,US-RE28911-E
US-2014116216-A1,US-4052248-A
US-2014116216-A1,US-4186633-A
US-2014116216-A1,US-4307638-A
US-2014116216-A1,US-4426245-A
US-2014116216-A1,US-4572761-A
US-2014116216-A1,US-4624031-A
US-2014116216-A1,US-4635837-A
US-2014116216-A1,US-4846035-A
US-2014116216-A1,US-4919351-A
US-2014116216-A1,US-5146830-A
US-2014116216-A1,US-5429025-A
US-2014116216-A1,US-6363825-B1
US-2014116216-A1,US-6450076-B1
US-2014116216-A1,US-6581500-B1
US-2014116216-A1,US-6851642-B2
US-2014116216-A1,US-2005051005-A1
US-2014116216-A1,US-6962101-B2
US-2014116216-A1,US-7022188-B2
US-2014116216-A1,US-7234381-B2
US-2014116216-A1,US-7441681-B2
US-2014116216-A1,US-7571670-B2
US-2014116216-A1,US-2010102101-A1
US-2014116216-A1,US-8146471-B2
US-2014116216-A1,US-8468920-B2
US-2014116216-A1,US-8943938-B2
US-2014118028-A1,US-7796370-B1
US-2014118028-A1,US-2011279163-A1
US-2014118117-A1,US-2006071790-A1
US-2014118117-A1,US-2008197194-A1
US-2014118117-A1,US-2011095865-A1
US-2014118117-A1,US-8159329-B1
US-2014119787-A1,US-2011008084-A1
US-2014119787-A1,US-2011135353-A1
US-2014119787-A1,US-2011170917-A1
US-2014119787-A1,US-2011206426-A1
US-2014119787-A1,US-2012076556-A1
US-2014119787-A1,US-2013034720-A1
US-2014121239-A1,WO-2010083414-A1
US-2014121239-A1,US-2011229469-A1
US-2014121239-A1,
US-2014121939-A1,US-5077486-A
US-2014121939-A1,US-5678521-A
US-2014121939-A1,US-5905369-A
US-2014121939-A1,US-6275431-B1
US-2014121939-A1,US-2004084035-A1
US-2014121939-A1,US-2005093523-A1
US-2014121939-A1,US-7116087-B2
US-2014121939-A1,US-7157891-B1
US-2014121939-A1,US-7170268-B2
US-2014121939-A1,US-2007062501-A1
US-2014121939-A1,US-2009212852-A1
US-2014121939-A1,US-7602165-B2
US-2014121939-A1,US-2009267587-A1
US-2014121939-A1,US-2011006969-A1
US-2014121939-A1,US-2011267848-A1
US-2014121939-A1,US-2011273057-A1
US-2014121939-A1,US-2012091977-A1
US-2014121939-A1,US-8519685-B2
US-2014122147-A1,US-2006111845-A1
US-2014122147-A1,US-2006271262-A1
US-2014122147-A1,US-2011290873-A1
US-2014122417-A1,US-2002161815-A1
US-2014122417-A1,US-2003074453-A1
US-2014122417-A1,US-2003177182-A1
US-2014122417-A1,US-2005004952-A1
US-2014122417-A1,US-2006294333-A1
US-2014122417-A1,US-2007260608-A1
US-2014122417-A1,US-2011282949-A1
US-2014123902-A1,US-3716371-A
US-2014123902-A1,US-3814057-A
US-2014123902-A1,US-3961603-A
US-2014123902-A1,US-4040810-A
US-2014123902-A1,US-4262633-A
US-2014123902-A1,US-5178094-A
US-2014123902-A1,US-5351643-A
US-2014123902-A1,US-5741344-A
US-2014123902-A1,US-5759224-A
US-2014123902-A1,US-6001146-A
US-2014123902-A1,US-6391620-B1
US-2014123902-A1,US-6474259-B1
US-2014123902-A1,US-2003143728-A1
US-2014123902-A1,US-2004089241-A1
US-2014123902-A1,US-2010129273-A1
US-2014123902-A1,US-2010273251-A1
US-2014123902-A1,US-7998728-B2
US-2014123902-A1,US-2012214223-A1
US-2014123902-A1,US-2013206071-A1
US-2014123902-A1,US-2013319334-A1
US-2014125398-A1,US-7149088-B2
US-2014125398-A1,US-7973405-B2
US-2014125398-A1,US-8018268-B1
US-2014126319-A1,US-5043945-A
US-2014126319-A1,US-2004264278-A1
US-2014126319-A1,US-2007266279-A1
US-2014126673-A1,US-6232842-B1
US-2014126673-A1,US-6587004-B2
US-2014126673-A1,US-7643583-B1
US-2014126673-A1,US-7952427-B2
US-2014126673-A1,US-8144813-B2
US-2014127530-A1,US-4819859-A
US-2014127530-A1,US-2006201998-A1
US-2014127530-A1,US-2008102301-A1
US-2014127530-A1,US-2011135957-A1
US-2014127530-A1,US-2012015210-A1
US-2014127530-A1,US-2012070686-A1
US-2014127530-A1,US-2012181325-A1
US-2014127744-A1,US-2005051723-A1
US-2014129426-A1,US-6438452-B1
US-2014129426-A1,US-2003195676-A1
US-2014129426-A1,US-2009306997-A1
US-2014129426-A1,US-2010332363-A1
US-2014129426-A1,WO-2011048579-A2
US-2014129426-A1,US-2011140877-A1
US-2014129426-A1,US-2011313646-A1
US-2014129426-A1,US-8292171-B2
US-2014129426-A1,US-8352150-B2
US-2014129426-A1,US-2013013431-A1
US-2014129426-A1,US-2013226745-A1
US-2014129426-A1,US-8612081-B2
US-2014129426-A1,KR-20140070905-A
US-2014130051-A1,US-2004088705-A1
US-2014130051-A1,US-2012102500-A1
US-2014130051-A1,
US-2014130652-A1,US-4619176-A
US-2014130652-A1,US-5451706-A
US-2014130652-A1,US-5655051-A
US-2014130652-A1,US-5696343-A
US-2014130652-A1,US-5967792-A
US-2014130652-A1,US-2003058486-A1
US-2014130652-A1,US-2005257666-A1
US-2014130652-A1,US-2006225561-A1
US-2014130652-A1,US-7129406-B2
US-2014130652-A1,US-2006275631-A1
US-2014130652-A1,US-7259314-B2
US-2014130652-A1,US-7265281-B2
US-2014130652-A1,US-7405350-B2
US-2014130652-A1,US-2010128183-A1
US-2014130652-A1,US-8149339-B2
US-2014130652-A1,US-2013199357-A1
US-2014130930-A1,US-5778941-A
US-2014130930-A1,US-2002013974-A1
US-2014130930-A1,US-6948527-B2
US-2014130930-A1,US-7549448-B2
US-2014130930-A1,US-8479776-B2
US-2014131412-A1,US-2781808-A
US-2014131412-A1,US-3491909-A
US-2014131412-A1,US-3638843-A
US-2014131412-A1,US-4506769-A
US-2014131412-A1,US-4790591-A
US-2014131412-A1,US-4989744-A
US-2014131412-A1,US-6213304-B1
US-2014131412-A1,US-2002166303-A1
US-2014131412-A1,US-6551539-B1
US-2014131412-A1,US-6595604-B1
US-2014131412-A1,US-6640944-B2
US-2014131412-A1,US-2005186387-A1
US-2014131412-A1,US-2006011686-A1
US-2014131412-A1,US-7004323-B1
US-2014131412-A1,US-2006283906-A1
US-2014131412-A1,US-2007110952-A1
US-2014131412-A1,US-2008289925-A1
US-2014132780-A1,US-2008192129-A1
US-2014133297-A1,US-6690918-B2
US-2014133297-A1,US-7657920-B2
US-2014133297-A1,US-7724716-B2
US-2014133297-A1,US-8160598-B2
US-2014133297-A1,US-8320902-B2
US-2014133297-A1,US-9325737-B2
US-2014136331-A1,US-6628770-B1
US-2014136331-A1,US-2004091093-A1
US-2014136331-A1,US-2004122730-A1
US-2014136331-A1,US-2005233733-A1
US-2014136331-A1,US-2009089144-A1
US-2014136331-A1,US-2009207983-A1
US-2014136331-A1,US-2010262619-A1
US-2014136331-A1,US-2011131237-A1
US-2014136331-A1,US-2012254042-A1
US-2014136331-A1,US-2013059613-A1
US-2014136331-A1,US-2014128043-A1
US-2014136889-A1,US-2003056139-A1
US-2014136889-A1,US-6675176-B1
US-2014136889-A1,US-7681072-B1
US-2014139004-A1,US-4350390-A
US-2014139004-A1,US-5026121-A
US-2014139004-A1,US-5108151-A
US-2014139004-A1,US-5251963-A
US-2014139004-A1,US-6490834-B1
US-2014139004-A1,US-6607247-B2
US-2014139004-A1,US-2008038569-A1
US-2014139004-A1,US-2013069415-A1
US-2014139004-A1,US-2013134756-A1
US-2014139004-A1,US-8511748-B2
US-2014139004-A1,US-2014159462-A1
US-2014139004-A1,US-2014284987-A1
US-2014139004-A1,US-2015210194-A1
US-2014139622-A1,US-2009102987-A1
US-2014139622-A1,US-2010238325-A1
US-2014139622-A1,US-2011193941-A1
US-2014141600-A1,US-2009110627-A1
US-2014141600-A1,US-2009155561-A1
US-2014141600-A1,US-2009294759-A1
US-2014141600-A1,US-2011033677-A1
US-2014141600-A1,US-2011042687-A1
US-2014141600-A1,US-2011129675-A1
US-2014141600-A1,US-2012068157-A1
US-2014141600-A1,US-2012161098-A1
US-2014141600-A1,US-2012258587-A1
US-2014141600-A1,US-2013127023-A1
US-2014141600-A1,
US-2014143222-A1,US-5974412-A
US-2014143222-A1,US-2003033299-A1
US-2014143222-A1,US-6640218-B1
US-2014143222-A1,US-2004107821-A1
US-2014143222-A1,US-2006254411-A1
US-2014143222-A1,US-2007033168-A1
US-2014143222-A1,US-2007156669-A1
US-2014143222-A1,US-2007271246-A1
US-2014143222-A1,US-2007271235-A1
US-2014143222-A1,US-2008133482-A1
US-2014143222-A1,US-2009287697-A1
US-2014143222-A1,US-2010031366-A1
US-2014143222-A1,US-2010094853-A1
US-2014143222-A1,US-7783644-B1
US-2014143222-A1,US-2010235351-A1
US-2014143222-A1,US-7805434-B2
US-2014143222-A1,US-2010250524-A1
US-2014143222-A1,US-7908184-B2
US-2014143222-A1,US-2011213770-A1
US-2014143222-A1,US-2011282739-A1
US-2014143222-A1,US-2011289095-A1
US-2014143222-A1,US-8095545-B2
US-2014143222-A1,US-2012036123-A1
US-2014143222-A1,US-2012089598-A1
US-2014143222-A1,US-2012221566-A1
US-2014143222-A1,US-2012259844-A1
US-2014143222-A1,US-8301616-B2
US-2014143222-A1,US-8359309-B1
US-2014143222-A1,US-8484199-B1
US-2014143222-A1,US-8615514-B1
US-2014143222-A1,US-2014122465-A1
US-2014143222-A1,US-8745041-B1
US-2014143222-A1,US-9116918-B1
US-2014145871-A1,US-5751240-A
US-2014145871-A1,US-2008224918-A1
US-2014145871-A1,US-2009237292-A1
US-2014145871-A1,US-2009303105-A1
US-2014145871-A1,US-2010033365-A1
US-2014145871-A1,US-2011122013-A1
US-2014145871-A1,US-2012050091-A1
US-2014145871-A1,US-2012268314-A1
US-2014145871-A1,US-2013093613-A1
US-2014145871-A1,US-9194940-B2
US-2014146433-A1,US-4225763-A
US-2014146433-A1,US-5107081-A
US-2014146433-A1,US-5243160-A
US-2014146433-A1,US-5864108-A
